Index;Tweet;Tanggal;Jumlah Retweet;Username;;;
1;kawal yuk teman2 medical beau;25/03/2021 14:42;0;drjeffaloys;;;bot
2;update kasus covid-19 indonesia kamis 25 maret 2021 via;25/03/2021 14:22;1;holopiscom;;;bot
3;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 12:53;0;PatikrajaPolsek;;;bot
4;negative report mandatory for entering bengaluru from april 1;25/03/2021 12:45;15;ndtv;;;bot
5;kalo mimpi ketemu toilet jangan coba masuk deh kalo udah lanjur masuk jangan coba nerusin seriu;25/03/2021 11:58;0;idamaannn;;;bot
6;akhbar pilih harga jatuh sindiket gelojoh baca lanjut pa;25/03/2021 11:50;2;PDRMsia;;;bot
7;update data kembang virus corona covid-19 25 maret 2021 satgascovid19;25/03/2021 11:30;0;RakyatMerdeka99;;;bot
8;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 11:20;0;polsek_ceper;;;bot
9;travelling to bengaluru from punjab chandigarh negative covid-19 report must;25/03/2021 11:15;0;MaaeraHolidays;;;bot
10;instruksi bupati sleman baru guru tinggi selenggara kuliah tatap muka masa pandemi;25/03/2021 11:01;0;ayoyogyacom;;;bot
11;pt angkasa pura i persero selenggara vaksinasi covid-19 hadap 856 covid19;25/03/2021 10:59;0;ayoyogyacom;;;
12;hari banyak 16 juta bahan baku vaksin covid-19 merk coronavac buat sinovac biotech tiba indonesia;25/03/2021 10:59;0;ayoyogyacom;;;
13;pemkot jogja tengah susun ulang atur kait giat ajar ajar kbm tatap muka covid19;25/03/2021 10:59;0;ayoyogyacom;;;
14;hingga ini 25 dagang malioboro ikut vaksinasi covid-19 covid19;25/03/2021 10:58;0;ayoyogyacom;;;
15;perempuan lebih mungkin alami efek samping terima vaksin covid-19 banding laki;25/03/2021 10:58;0;ayoyogyacom;;;
16;lap kluster baharu kes hari masuk tujuh libat tempat kerja - kp kesihatan;25/03/2021 10:54;4;bernamadotcom;;;
17;covid-19 in karnataka rt-pcr negative certificates mandatory for people coming to bengaluru bsybjp;25/03/2021 10:54;0;fpjindia;;;bot
18;gaiter loops auaaq balaclava bandanas - coronavirus;25/03/2021 10:22;0;purdyme123;;;bot
19;lanjut ica hari mertua vaksinasi alami stroke kondisi rahang miring ki;25/03/2021 10:07;0;poskotaofficial;;;bot
20;rektor unp positif covid-19 vaksinasi intensif kampus air tawar;25/03/2021 09:28;0;beritaminangcom;;;bot
21;status kini task force operasi patuh pdrm baca lanjut paut;25/03/2021 09:25;2;PDRMsia;;;bot
22;ki ni mangwani yh py paisa lga k awam ko shifa dna ha aur;25/03/2021 08:25;0;sayeed_akbar;;;bot
23;public speaking butuh sampai informasi cara efisien akurat efektif dengar mampu menangk;25/03/2021 08:18;1;OfficialSekolah;;;bot
24;suntik 9 juta vaksin covid-19 wamenkes dampak lihat - beritasatu;25/03/2021 07:48;0;beritacovid;;;bot
25;pasien covid-19 rawat rsd wisma atlet mayor per 25 maret 2021 -;25/03/2021 07:48;0;beritacovid;;;
26;bansos covid-19 kpk panggil sekjen kemensos dirjen linjamsos - - nasional;25/03/2021 07:48;0;beritacovid;;;
27;tahun the media hotel and towers jadi posko tenaga medis covid-19 -;25/03/2021 07:48;0;beritacovid;;;
28;patut syukur indonesia cepat vaksin covid-19 - - nasional;25/03/2021 07:48;0;beritacovid;;;
29;catat angka mati hari tinggi akibat covid-19 - - pikir rakyat;25/03/2021 07:48;0;beritacovid;;;
30;budi bicara soal khawatir vaksinasi covid - cnbc indonesia;25/03/2021 07:48;0;beritacovid;;;
31;tangan covid-19 mungkin besar mudik lebaran larang - bisnis;25/03/2021 07:48;0;beritacovid;;;
32;covid-19 akibat senjang sosial perempuan makin nyata -;25/03/2021 07:48;0;beritacovid;;;
33;vaksin covid-19 tahap tujuh - beritasatu;25/03/2021 07:48;0;beritacovid;;;
34;klaim indonesia registrasi obat covid-19 buat 4 hari sembuh -;25/03/2021 07:48;0;beritacovid;;;
35;covid b117 duga masuk garut -;25/03/2021 07:48;0;beritacovid;;;
36;mutasi ganda covid-19 temu india - okezone;25/03/2021 07:48;0;beritacovid;;;
37;3 upaya ojk tangan dampak pandemik covid-19 -;25/03/2021 07:48;0;beritacovid;;;
38;aktor bollywood aamir khan positif covid-19 -;25/03/2021 07:48;0;beritacovid;;;
39;vaksinasi covid dagang pasar jemput paksa tenaga sehat polisi - inews;25/03/2021 07:48;0;beritacovid;;;
40;wna vaksinasi covid-19 sanur bal pakai vaksin astrazeneca - jawa pos;25/03/2021 07:48;0;beritacovid;;;
41;vaksinasi covid-19 tni al tahap akhir jakarta -;25/03/2021 07:48;0;beritacovid;;;
42;tim grup b piala menpora jalan vaksinasi covid-19 -;25/03/2021 07:48;0;beritacovid;;;
43;malioboro ingat jalan vaksinasi covid-19 -;25/03/2021 07:48;0;beritacovid;;;
44;wakil bupati mamuju telat vaksin covid-19 - -;25/03/2021 07:48;0;beritacovid;;;
45;modus tipu lowong kerja bayar tengah pandemi covid-19 - okezone;25/03/2021 07:48;0;beritacovid;;;
46;mark sungkar positif covid-19 - inews;25/03/2021 07:48;0;beritacovid;;;
47;sedia layan vaksin covid-19 klinik pratama makmur jaya ciputat pamulang bintaro isi data pad;25/03/2021 07:37;0;KMakmurJaya;;;bot
48;kerala;25/03/2021 07:34;0;anafran_mussic;;;
49;kenya;25/03/2021 07:33;1;anafran_mussic;;;
50;segera daftar kuota 300 ribu prakerja;25/03/2021 07:33;0;tribunpontianak;;;bot
51;sobat polri ayo cegah tular covid-19 jaga jarak kita hindar virus covid-19;25/03/2021 07:33;0;KotaPtk;;;bot
52;program imunisasi covid-19 bangsa tan sri dato haji muhyiddin bin haji muhammad yassin perdana menteri malay;25/03/2021 07:04;0;mat4g13;;;bot
53;innahhh da;25/03/2021 07:01;0;Biiii162;;;
54;lansia jangan takut vaksin warga bogor usia 104 tahun sehat pasca suntik vaksin;25/03/2021 06:45;0;RakyatMerdeka99;;;bot
55;mantap 16 juta dosis vaksin covid sinovac tiba tanah air vaksin;25/03/2021 06:42;0;RakyatMerdeka99;;;
56;umbono lingayekethisi icovid-19 isesekhona;25/03/2021 06:25;0;UMthunywa;;;bot
57;umum panjang ppkm mikro sesuai instruksi gubernur diy no 8 instr 2021 ppkm mikro panjang m;25/03/2021 06:17;5;humas_jogja;;;bot
58;panjang ppkm mikro brebes laku 5 april 2021 ppkm;25/03/2021 05:47;0;bmnzone;;;bot
59;seni hibur boleh laksana buah hajat giat sosial masyarakat adala;25/03/2021 05:24;0;inewsdotid;;;bot
60;wakil presiden ma ruf amin imbau masyarakat jalan ibadah rumah lama ramadan langkah harus;25/03/2021 05:14;0;lampostco;;;bot
